,,classifier duration,classifier duration,classifier duration,overtime,overtime,overtime,bad_session
LTP493,0,0.2570616648747366,0.190677881240844,3.96628189086914,0,91,0.0,False
LTP493,1,0.2163589233305392,0.18235957622527998,1.5475478172302242,0,82,0.0,False
LTP493,2,0.33410190902979986,0.232144832611083,4.72969913482666,0,115,0.0,False
LTP493,3,0.19592318996306343,0.18728494644165,0.485234975814819,0,93,0.0,False
LTP494,0,0.18800339158975807,0.1834390163421625,0.261327028274536,0,107,0.0,False
LTP494,1,0.19228659114059085,0.18234300613403298,0.340353965759277,0,98,0.0,False
LTP494,2,3.649973228139784,0.210620164871215,18.30823874473572,24,103,0.23300970873786409,True
LTP494,3,0.48723760339402616,0.277487993240356,3.042678117752075,0,99,0.0,False
LTP495,0,0.1982077816699409,0.1827989816665645,0.475005865097045,0,94,0.0,False
LTP495,1,0.7586574847238102,0.3036805391311645,3.787032127380371,0,118,0.0,False
LTP495,2,0.2178777860743654,0.210308909416198,0.359057903289794,0,112,0.0,False
LTP495,3,0.20592310769217306,0.194257974624633,0.520299196243286,0,106,0.0,False
LTP496,0,0.19432162452530027,0.18571400642395,0.303476333618164,0,91,0.0,False
LTP496,1,0.20211628261877518,0.1875029802322385,0.42968201637268,0,99,0.0,False
LTP496,2,0.21059326867799452,0.199012994766235,0.4600350856781,0,111,0.0,False
LTP496,3,0.19765385734700663,0.180615186691284,0.9613771438598632,0,108,0.0,False
LTP497,0,0.1979606899560662,0.18967545032501198,0.337021112442016,0,103,0.0,False
LTP497,1,0.1988495660864784,0.18860387802124,0.406198024749755,0,116,0.0,False
LTP497,2,0.18125326944434078,0.175602912902832,0.247676372528076,0,115,0.0,False
LTP497,3,0.1919447277369119,0.182812929153442,0.434527873992919,0,91,0.0,False
LTP498,0,0.2296578236568117,0.200313091278076,0.7999911308288571,0,81,0.0,False
LTP498,1,21.99024981585416,0.449426531791687,76.02799701690674,53,117,0.452991452991453,True
LTP498,2,0.19160878769705178,0.180830955505371,0.6407229900360101,0,108,0.0,False
LTP498,3,0.19506683778226996,0.187702178955078,0.362799882888793,0,89,0.0,False
LTP500,0,0.2028845781865323,0.1918165683746335,0.433647871017456,0,92,0.0,False
LTP500,1,0.21475821860293076,0.202016949653625,0.60280704498291,0,94,0.0,False
LTP500,2,0.17949071908608402,0.175651788711547,0.236116886138916,0,39,0.0,False
LTP500,3,0.19162086611208656,0.185328006744384,0.290300846099853,0,115,0.0,False
